1|2|1|1|7|0100-0500|200|07/11/2015|08/11/2015|10.0|0|1
1|2|1|2|7|1000-1400|200|07/11/2015|08/11/2015|10.0|0|1
1|2|1|3|1|1800-2200|200|08/11/2015|09/11/2015|10.0|0|1
1|2|1|4|2|1700-2100|200|09/11/2015|10/11/2015|8.0|0|1
1|2|1|5|3|1600-2000|200|10/11/2015|11/11/2015|8.0|0|1
1|2|1|6|4|1200-1600|200|11/11/2015|12/11/2015|8.0|0|1
1|2|1|7|5|1500-1900|200|12/11/2015|13/11/2015|8.0|0|1
1|2|1|8|6|1300-1700|200|13/11/2015|14/11/2015|8.0|0|1
1|2|1|9|7|1200-1600|200|14/11/2015|15/11/2015|10.0|0|1
1|2|1|10|1|1600-2000|200|15/11/2015|16/11/2015|10.0|0|1
1|2|1|11|2|1200-1600|200|16/11/2015|17/11/2015|8.0|0|1
1|2|2|12|2|1100-1500|100|16/11/2015|17/11/2015|8.0|0|1
1|2|2|13|2|1700-2100|100|16/11/2015|17/11/2015|8.0|0|1
1|2|4|14|7|0100-0500|200|07/11/2015|08/11/2015|10.0|0|2
1|2|4|15|7|1000-1400|200|07/11/2015|08/11/2015|10.0|0|2
1|2|4|16|1|1800-2200|200|08/11/2015|09/11/2015|10.0|0|2
1|2|4|17|2|1700-2100|200|09/11/2015|10/11/2015|8.0|0|2
1|2|4|18|3|1600-2000|200|10/11/2015|11/11/2015|8.0|0|2
1|2|4|19|4|1200-1600|200|11/11/2015|12/11/2015|8.0|0|2
1|2|4|20|5|1500-1900|200|12/11/2015|13/11/2015|8.0|0|2
1|2|4|21|6|1300-1700|200|13/11/2015|14/11/2015|8.0|0|2
1|2|4|22|7|1200-1600|200|14/11/2015|15/11/2015|10.0|0|2
1|2|4|23|1|1600-2000|200|15/11/2015|16/11/2015|10.0|0|2
1|2|4|24|2|1200-1600|200|16/11/2015|17/11/2015|8.0|0|2
1|2|4|25|2|1100-1500|100|16/11/2015|17/11/2015|8.0|0|2
1|2|4|26|2|1700-2100|100|16/11/2015|17/11/2015|8.0|0|2
1|2|7|27|7|0100-0500|200|07/11/2015|08/11/2015|10.0|0|3
1|2|7|28|7|1000-1400|200|07/11/2015|08/11/2015|10.0|0|3
1|2|7|29|1|1800-2200|200|08/11/2015|09/11/2015|10.0|0|3
1|2|7|30|2|1700-2100|200|09/11/2015|10/11/2015|8.0|0|3
1|2|7|31|3|1600-2000|200|10/11/2015|11/11/2015|8.0|0|3
1|2|7|32|4|1200-1600|200|11/11/2015|12/11/2015|8.0|0|3
1|2|7|33|5|1500-1900|200|12/11/2015|13/11/2015|8.0|0|3
1|2|7|34|6|1300-1700|200|13/11/2015|14/11/2015|8.0|0|3
1|2|8|35|7|1200-1600|200|14/11/2015|15/11/2015|10.0|0|3
1|2|8|36|1|1600-2000|200|15/11/2015|16/11/2015|10.0|0|3
1|2|7|37|2|1200-1600|200|16/11/2015|17/11/2015|8.0|0|3
1|2|8|38|2|1100-1500|100|16/11/2015|17/11/2015|8.0|0|3
1|2|7|39|2|1700-2100|100|16/11/2015|17/11/2015|8.0|0|3
